Entity,Day,Weekly cases per million people
United States,2022-09-24,1103.5475
United States,2022-09-25,1079.6144
United States,2022-09-26,1074.6339
United States,2022-09-27,1060.3074
United States,2022-09-28,1039.3666
United States,2022-09-29,1012.40875
United States,2022-09-30,995.4148
United States,2022-10-01,960.14453
United States,2022-10-02,940.5623
United States,2022-10-03,929.8196
United States,2022-10-04,925.60626
United States,2022-10-05,910.1641
United States,2022-10-06,902.165
United States,2022-10-07,861.22614
United States,2022-10-08,836.1832
United States,2022-10-09,821.54047
United States,2022-10-10,818.9961
United States,2022-10-11,817.1339
United States,2022-10-12,793.8595
United States,2022-10-13,795.3264
United States,2022-10-14,775.6241
United States,2022-10-15,759.19824
United States,2022-10-16,735.7393
United States,2022-10-17,720.2709
United States,2022-10-18,714.21295
United States,2022-10-19,741.8559
United States,2022-10-20,744.32416
United States,2022-10-21,576.0715
United States,2022-10-22,929.4331
United States,2022-10-23,830.76355
United States,2022-10-24,813.0494
United States,2022-10-25,780.3996
United States,2022-10-26,681.25867
United States,2022-10-27,567.0709
United States,2022-10-28,1314.159
United States,2022-10-29,747.08813
United States,2022-10-30,747.08813
United States,2022-10-31,747.08813
United States,2022-11-01,747.08813
United States,2022-11-02,747.08813
United States,2022-11-03,747.08813
United States,2022-11-04,782.6571
United States,2022-11-05,782.6571
United States,2022-11-06,782.6571
United States,2022-11-07,782.6571
United States,2022-11-08,782.6571
United States,2022-11-09,782.6571
United States,2022-11-10,782.6571
United States,2022-11-11,828.31287
United States,2022-11-12,828.31287
United States,2022-11-13,828.31287
United States,2022-11-14,828.31287
United States,2022-11-15,828.31287
United States,2022-11-16,828.31287
United States,2022-11-17,828.31287
United States,2022-11-18,805.14386
United States,2022-11-19,805.14386
United States,2022-11-20,805.14386
United States,2022-11-21,805.14386
United States,2022-11-22,805.14386
United States,2022-11-23,805.14386
United States,2022-11-24,805.14386
United States,2022-11-25,878.89056
United States,2022-11-26,878.89056
United States,2022-11-27,878.89056
United States,2022-11-28,878.89056
United States,2022-11-29,878.89056
United States,2022-11-30,878.89056
United States,2022-12-01,878.89056
United States,2022-12-02,885.99963
United States,2022-12-03,885.99963
United States,2022-12-04,885.99963
United States,2022-12-05,885.99963
United States,2022-12-06,885.99963
United States,2022-12-07,885.99963
United States,2022-12-08,885.99963
United States,2022-12-09,1353.3733
United States,2022-12-10,1353.3733
United States,2022-12-11,1353.3733
United States,2022-12-12,1353.3733
United States,2022-12-13,1353.3733
United States,2022-12-14,1353.3733
United States,2022-12-15,1353.3733
United States,2022-12-16,1305.914
United States,2022-12-17,1305.914
United States,2022-12-18,1305.914
United States,2022-12-19,1305.914
United States,2022-12-20,1305.914
United States,2022-12-21,1305.914
United States,2022-12-22,1305.914
United States,2022-12-23,1487.4332
United States,2022-12-24,1487.4332
United States,2022-12-25,1487.4332
United States,2022-12-26,1487.4332
United States,2022-12-27,1487.4332
United States,2022-12-28,1487.4332
United States,2022-12-29,1487.4332
United States,2022-12-30,1148.3572
United States,2022-12-31,1148.3572
United States,2023-01-01,1148.3572
United States,2023-01-02,1148.3572
United States,2023-01-03,1148.3572
United States,2023-01-04,1148.3572
United States,2023-01-05,1148.3572
United States,2023-01-06,1381.1626
United States,2023-01-07,1381.1626
United States,2023-01-08,1381.1626
United States,2023-01-09,1381.1626
United States,2023-01-10,1381.1626
United States,2023-01-11,1381.1626
United States,2023-01-12,1381.1626
United States,2023-01-13,1311.9983
United States,2023-01-14,1311.9983
United States,2023-01-15,1311.9983
United States,2023-01-16,1311.9983
United States,2023-01-17,1311.9983
United States,2023-01-18,1311.9983
United States,2023-01-19,1311.9983
United States,2023-01-20,901.8868
United States,2023-01-21,901.8868
United States,2023-01-22,901.8868
United States,2023-01-23,901.8868
United States,2023-01-24,901.8868
United States,2023-01-25,901.8868
United States,2023-01-26,901.8868
United States,2023-01-27,863.3606
United States,2023-01-28,863.3606
United States,2023-01-29,863.3606
United States,2023-01-30,863.3606
United States,2023-01-31,863.3606
United States,2023-02-01,863.3606
United States,2023-02-02,863.3606
United States,2023-02-03,835.6474
United States,2023-02-04,835.6474
United States,2023-02-05,835.6474
United States,2023-02-06,835.6474
United States,2023-02-07,835.6474
United States,2023-02-08,835.6474
United States,2023-02-09,835.6474
United States,2023-02-10,814.6422
United States,2023-02-11,814.6422
United States,2023-02-12,814.6422
United States,2023-02-13,814.6422
United States,2023-02-14,814.6422
United States,2023-02-15,814.6422
United States,2023-02-16,814.6422
United States,2023-02-17,744.7926
United States,2023-02-18,744.7926
United States,2023-02-19,744.7926
United States,2023-02-20,744.7926
United States,2023-02-21,744.7926
United States,2023-02-22,744.7926
United States,2023-02-23,744.7926
United States,2023-02-24,0
United States,2023-02-25,782.25885
United States,2023-02-26,782.25885
United States,2023-02-27,782.25885
United States,2023-02-28,782.25885
United States,2023-03-01,782.25885
United States,2023-03-02,782.25885
United States,2023-03-03,782.25885
United States,2023-03-04,667.0727
United States,2023-03-05,667.0727
United States,2023-03-06,667.0727
United States,2023-03-07,667.0727
United States,2023-03-08,667.0727
United States,2023-03-09,667.0727
United States,2023-03-10,667.0727
United States,2023-03-11,499.49054
United States,2023-03-12,499.49054
United States,2023-03-13,499.49054
United States,2023-03-14,499.49054
United States,2023-03-15,499.49054
United States,2023-03-16,499.49054
United States,2023-03-17,499.49054
United States,2023-03-18,370.7186
United States,2023-03-19,370.7186
United States,2023-03-20,370.7186
United States,2023-03-21,370.7186
United States,2023-03-22,370.7186
United States,2023-03-23,370.7186
United States,2023-03-24,370.7186
United States,2023-03-25,447.88513
United States,2023-03-26,447.88513
United States,2023-03-27,447.88513
United States,2023-03-28,447.88513
United States,2023-03-29,447.88513
United States,2023-03-30,447.88513
United States,2023-03-31,447.88513
United States,2023-04-01,516.37024
United States,2023-04-02,516.37024
United States,2023-04-03,516.37024
United States,2023-04-04,516.37024
United States,2023-04-05,516.37024
United States,2023-04-06,516.37024
United States,2023-04-07,516.37024
United States,2023-04-08,0
United States,2023-04-09,302.96252
United States,2023-04-10,302.96252
United States,2023-04-11,302.96252
United States,2023-04-12,302.96252
United States,2023-04-13,302.96252
United States,2023-04-14,302.96252
United States,2023-04-15,302.96252
United States,2023-04-16,304.67538
United States,2023-04-17,304.67538
United States,2023-04-18,304.67538
United States,2023-04-19,304.67538
United States,2023-04-20,304.67538
United States,2023-04-21,304.67538
United States,2023-04-22,304.67538
United States,2023-04-23,288.30804
United States,2023-04-24,288.30804
United States,2023-04-25,288.30804
United States,2023-04-26,288.30804
United States,2023-04-27,288.30804
United States,2023-04-28,288.30804
United States,2023-04-29,288.30804
United States,2023-04-30,253.22223
United States,2023-05-01,253.22223
United States,2023-05-02,253.22223
United States,2023-05-03,253.22223
United States,2023-05-04,253.22223
United States,2023-05-05,253.22223
United States,2023-05-06,253.22223
United States,2023-05-07,225.93651
United States,2023-05-08,225.93651
United States,2023-05-09,225.93651
United States,2023-05-10,225.93651
United States,2023-05-11,225.93651
United States,2023-05-12,225.93651
United States,2023-05-13,225.93651
United States,2023-05-14,273.06213
United States,2023-05-15,273.06213
United States,2023-05-16,273.06213
United States,2023-05-17,273.06213
United States,2023-05-18,273.06213
United States,2023-05-19,273.06213
United States,2023-05-20,273.06213
